qtype,cleaned_question,cleaned_answer
treatment,treatments parasites lice head lice,general guidelines treatment head lice recommended persons diagnosed active infestation household members close contacts checked persons evidence active infestation treated experts believe prophylactic treatment prudent persons share bed activelyinfested individuals infested persons household members close contacts bedmates treated time pediculicides medicines kill lice ovicidal effect kill eggs pediculicides weakly ovicidal ovicidal routine retreatment recommended strongly ovicidal retreatment recommended live crawling lice still present several days treatment see recommendation medication effective retreatment occur eggs hatched new eggs produced treating head lice supplemental measures combined recommended medicine pharmacologic treatment however additional nonpharmacologic measures generally required eliminate head lice infestation example hats scarves pillow cases bedding clothing towels worn used infested person period treatment started machine washed dried using hot water hot air cycles lice eggs killed exposure minutes temperatures greater items cannot laundered may drycleaned sealed plastic bag two weeks items hats grooming aids towels come contact hair infested person shared vacuuming furniture floors remove infested persons hairs might viable nits attached treatment infested persons requires using overthecounter otc prescription medication follow treatment steps applying treatment may helpful remove clothing become wet stained treatment apply lice medicine also called pediculicide according instructions contained box printed label infested person long hair longer shoulder length may necessary use second bottle pay special attention instructions label box regarding long medication left hair washed infested person put clean clothing treatment live lice still found hours treatment moving slowly retreat medicine may take longer kill lice comb dead remaining live lice hair using nit comb hours treatment dead lice found lice seem active medicine may working retreat speaking health care provider different pediculicide may necessary health care provider recommends different pediculicide carefully follow treatment instructions contained box printed label nit head lice egg combs often found lice medicine packages used comb nits lice hair shaft many flea combs made cats dogs also effective treatment checking hair combing nit comb remove nits lice every days may decrease chance continue check weeks sure lice nits gone nit removal needed treating spinosad topical suspension retreatment meant kill surviving hatched lice produce new eggs drugs retreatment recommended routinely week first treatment days depending drug others crawling lice seen period retreatment lindane shampoo recommended supplemental measures head lice survive long fall person cannot feed dont need spend lot time money housecleaning activities follow steps help avoid lice recently fallen hair crawled onto clothing furniture machine wash dry clothing bed linens items infested person wore used days treatment using hot water laundry cycle high heat drying cycle clothing items washable sealed plastic bag stored weeks soak combs brushes hot water least minutes vacuum floor furniture particularly infested person sat lay however risk getting infested louse fallen onto rug carpet furniture low head lice survive less days fall person cannot feed nits cannot hatch usually die within week kept temperature found close human scalp spending much time money housecleaning activities necessary avoid reinfestation lice nits may fallen head crawled onto furniture clothing use fumigant sprays toxic inhaled absorbed skin prevent reinfestation prevention control overthecounter medications many head lice medications available overthecounter without prescription local drug store pharmacy overthecounter product approved fda treatment head lice contains one following active ingredients crawling lice still seen full course treatment contact health care provider pyrethrins combined piperonyl butoxide brand name products pronto rc rid triple x licide pyrethrins naturally occurring pyrethroid extracts chrysanthemum flower pyrethrins safe effective used directed pyrethrins kill live lice unhatched eggs nits second treatment recommended days first treatment kill newly hatched lice produce new eggs pyrethrins generally used persons allergic chrysanthemums ragweed pyrethrin approved use children years age older permethrin lotion brand name product nix permethrin synthetic pyrethroid similar naturally occurring pyrethrins permethrin lotion approved fda treatment head lice permethrin safe effective used directed permethrin kills live lice unhatched eggs permethrin may continue kill newly hatched lice several days treatment second treatment often necessary day kill newly hatched lice produce new eggs permethrin approved use children months age older prescription medications following medications alphabetical order approved us food drug administration fda treatment head lice available prescription crawling lice still seen full course treatment contact health care provider benzyl alcohol lotion brand name product ulesfia lotion benzyl alcohol aromatic alcohol benzyl alcohol lotion approved fda treatment head lice considered safe effective used directed kills lice ovicidalie kill lice eggs second treatment needed days first treatment kill newly hatched lice produce new eggs benzyl alcohol lotion intended use persons months age older safety persons aged years established irritating skin ivermectin lotion brand name product sklice ivermectin lotion approved fda treatment head lice persons months age older ovicidal appears prevent nymphs newly hatched lice surviving effective patients given single application dry hair without nit combing used retreatment without talking healthcare provider given tablet mass drug administrations oral ivermectin used extensively safely two decades many countries treat filarial worm infections although fdaapproved treatment lice ivermectin tablets given single oral dose microgramskg repeated days microgramskg repeated days shown effective head lice used children weighing less kg pregnant women spinosad topical suspension brand name product natroba spinosad derived soil bacteria spinosad topical suspension approved fda since kills live lice well unhatched eggs retreatment usually needed nit combing required spinosad topical suspension approved treatment children months age older safe effective used directed repeat treatment given live crawling lice seen days first treatment treatment lindane shampoo brand name products none available lindane organochloride american academy pediatrics aap longer recommends pediculocide although lindane shampoo approved fda treatment head lice recommended treatment overuse misuse accidentally swallowing lindane toxic brain parts nervous system use restricted patients prior treatments failed cannot tolerate medications pose less risk lindane used treat premature infants persons hiv seizure disorder women pregnant persons irritated skin sores lindane applied infants children elderly persons weigh less pounds retreatment avoided treating head lice use extra amounts lice medication unless instructed physician pharmacist drugs used treat lice insecticides dangerous misused overused medications listed kept eyes get onto eyes immediately flushed away treat infested person times medication seem working may caused using medicine incorrectly resistance medicine always seek advice health care provider happen heshe may recommend alternative medication use different head lice drugs time unless instructed physician pharmacist use trade names identification purposes imply endorsement public health service us department health human services
prevention,prevent parasites lice head lice,head lice spread commonly direct headtohead hairtohair contact however much less frequently spread sharing clothing belongings onto lice crawled nits attached shed hairs may fallen risk getting infested louse fallen onto carpet furniture small head lice survive less days fall person cannot feed nits cannot hatch usually die within week kept temperature found close scalp following steps taken help prevent control spread head lice avoid headtohead hairtohair contact play activities home school elsewhere sports activities playground slumber parties camp share clothing hats scarves coats sports uniforms hair ribbons barrettes share combs brushes towels disinfest combs brushes used infested person soaking hot water least minutes lie beds couches pillows carpets stuffed animals recently contact infested person machine wash dry clothing bed linens items infested person wore used days treatment using hot water laundry cycle high heat drying cycle clothing items washable drycleaned sealed plastic bag stored weeks vacuum floor furniture particularly infested person sat lay however spending much time money housecleaning activities necessary avoid reinfestation lice nits may fallen head crawled onto furniture clothing use fumigant sprays fogs necessary control head lice toxic inhaled absorbed skin help control head lice outbreak community school camp children taught avoid activities may spread head lice
information,parasites lice body lice,body lice parasitic insects live clothing bedding used infested persons body lice frequently lay eggs near seams clothing body lice must feed blood usually move skin feed body lice exist worldwide infest people races body lice infestations spread rapidly crowded living conditions hygiene poor homeless refugees victims war natural disasters united states body lice infestations found homeless transient populations access bathing regular changes clean clothes infestation unlikely persist anyone bathes regularly least weekly access freshly laundered clothing bedding
susceptibility,risk parasites lice body lice,body lice infestation found worldwide generally limited persons live conditions crowding poor hygiene access regular bathing changes clean clothes homeless refugees survivors war natural disasters infestations spread rapidly conditions body lice infestation occur people races body lice spread direct contact person body lice contact articles clothing beds bed linens towels contact infested person however united states actual infestation body lice tends occur homeless transient persons access regular bathing changes clean clothes body lice transmit disease epidemics typhus louseborne relapsing fever caused body lice typically areas climate poverty social customs war social upheaval prevent regular changes laundering clothing
exams and tests,diagnose parasites lice body lice,body lice infestation diagnosed finding eggs crawling lice seams clothing sometimes body louse seen crawling feeding skin although body lice nits large enough seen naked eye magnifying lens may necessary find crawling lice eggs
treatment,treatments parasites lice body lice,body lice infestation treated improving personal hygiene infested person including assuring regular least weekly change clean clothes clothing bedding towels used infested person laundered using hot water least machine dried using hot cycle sometimes infested person also treated pediculicide medicine kill lice however pediculicide generally necessary hygiene maintained items laundered appropriately least week pediculicide applied exactly directed bottle physician choose treat guidelines choice pediculicide head lice head lice treatment
prevention,prevent parasites lice body lice,body lice spread commonly direct contact infested person infested clothing bedding body lice usually infest persons launder change clothes regularly following steps taken help prevent control spread body lice bathe regularly change properly laundered clothes least week launder infested clothing least week machine wash dry infested clothing bedding using hot water least laundry cycle high heat drying cycle clothing items washable drycleaned sealed plastic bag stored weeks share clothing beds bedding towels used infested person fumigation dusting chemical insecticides sometimes necessary control prevent spread body lice certain diseases epidemic typhus
prevention,prevent la crosse encephalitis,vaccine la crosse encephalitis virus lacv reducing exposure mosquito bites best defense getting infected lacv mosquitoborne viruses several approaches family use prevent control mosquitoborne diseases use repellent outdoors use insect repellent containing deet picaridin oil lemon eucalyptus exposed skin well clothing mosquitoes bite thin cloth permethrin repellentinsecticide applied clothing provide excellent protection multiple washes treat clothing always follow directions package purchase pretreated clothing best protection still necessary apply repellent exposed skin wear protective clothing wear long sleeves pants socks weather permits avoid peak biting hours avoid outdoor activity use protective measures mosquitoes active aedes triseriatus mosquitoes active dawn dusk install repair screens secure intact screens windows doors keep mosquitoes keep mosquitoes laying eggs near mosquitoes lay eggs even small amounts standing water aedes triseriatus prefers treeholes also lay eggs artificial containers fill treeholes inaround yard soil get rid mosquito breeding sites emptying standing water flower pots buckets barrels tires change water pet dishes replace water bird baths weekly drill holes tire swings water drains empty childrens wading pools store side use
information,parasites toxocariasis also known roundworm infection,frequently asked questions faqs fact sheets
susceptibility,risk parasites toxocariasis also known roundworm infection,infected dogs cats shed toxocara eggs feces environment environment takes weeks toxocara larvae develop eggs become infectious humans animals infected accidentally ingesting toxocara eggs example humans become infected work dirt accidentally ingest dirt containing toxocara eggs although rare people infected eating undercooked raw meat infected animal lamb rabbit dogs cats frequently found people live may large numbers infected eggs environment body toxocara eggs hatch roundworm larvae travel bloodstream different parts body including liver heart lungs brain muscles eyes infected people symptoms however people toxocara larvae cause damage tissues organs symptoms toxocariasis disease caused migrating larvae include fever coughing inflammation liver eye problems us study showed dogs younger months deposit toxocara eggs feces studies shown almost puppies born already infected toxocara canis research also suggests cats infected toxocara cati infection rates higher dogs cats left outside time allowed eat animals humans found almost us population infected toxocara globally toxocariasis found many countries prevalence rates reach high parts world several factors associated higher rates infection toxocara people likely infected toxocara dog children adolescents age likely test positive toxocara infection may children likely eat dirt play outdoor environments sandboxes dog cat feces found infection common people living poverty geographic location plays role well toxocara prevalent hot humid regions eggs kept viable soil
exams and tests,diagnose parasites toxocariasis also known roundworm infection,think child may toxocariasis see health care provider discuss possibility infection necessary examined toxocariasis difficult diagnose symptoms toxocariasis similar symptoms infections blood test available looks evidence infection toxocara larvae addition blood test diagnosis toxocariasis includes identifying presence typical clinical signs vt ot history exposure cats dogs
treatment,treatments parasites toxocariasis also known roundworm infection,visceral toxocariasis treated antiparasitic drugs albendazole mebendazole treatment ocular toxocariasis difficult usually consists measures prevent progressive damage eye resources health professionals treatment
prevention,prevent parasites toxocariasis also known roundworm infection,controlling toxocara infection dogs cats reduce number infectious eggs environment reduce risk infection people veterinarian treat dogs cats especially young animals regularly worms especially important pets spend time outdoors may become infected several things around home make pets safer clean living area least week feces either buried bagged disposed trash wash hands handling pet waste allow children play areas soiled pet animal feces cover sandboxes use make sure animals get inside contaminate wash hands soap warm water playing pets animals outdoor activities handling food teach children importance washing hands prevent infection teach children dangerous eat dirt soil handwashing toxocara eggs strong protective layer makes eggs able survive environment months even years right conditions many common disinfectants effective toxocara eggs extreme heat shown kill eggs prompt removal animal feces help prevent infection since eggs require weeks become infective animal
information,acanthamoeba granulomatous amebic encephalitis gae keratitis,acanthamoeba microscopic freeliving ameba singlecelled living organism commonly found environment cause rare severe illness acanthamoeba causes three main types illness involving eye acanthamoeba keratitis brain spinal cord granulomatous encephalitis infections spread throughout entire body disseminated infection
susceptibility,risk acanthamoeba granulomatous amebic encephalitis gae keratitis,acanthamoeba keratitis acanthamoeba keratitis rare disease affect anyone common individuals wear contact lenses united states estimated cases occur contact lens users incidence disease developed countries approximately one cases per million contact lens wearers people wear contact lenses certain practices increase risk getting acanthamoeba keratitis storing handling lenses improperly disinfecting lenses improperly using tap water topping solutions cleaning lenses lens case swimming using hot tub showering wearing lenses coming contact contaminated water history trauma cornea contact lens wearers practice proper lens care noncontact lens wearers still develop infection additional information contact lens care prevention acanthamoeba keratitis visit web page prevention control reports acanthamoeba keratitis spread one person another granulomatous amebic encephalitis gae granulomatous amebic encephalitis gae disseminated infection rare forms acanthamoeba infection primarily affect people compromised immune systems unusual disseminated infection also affect healthy children adults conditions may increase risk gae disseminated infection include aids organtissue transplant steroids excessive use antibiotics diabetes mellitus cancer disorders white blood cells lymphatic tissue overproduced abnormal disorders blood cells blood clotting mechanisms function properly abnormal liver cirrhosis lupus
exams and tests,diagnose acanthamoeba granulomatous amebic encephalitis gae keratitis,early diagnosis essential effective treatment acanthamoeba keratitis infection usually diagnosed eye specialist based symptoms growth ameba scraping eye andor seeing ameba process called confocal microscopy granulomatous amebic encephalitis gae disseminated infection difficult diagnose often advanced stages diagnosed tests useful diagnosis gae include brain scans biopsies spinal taps disseminated disease biopsy involved sites eg skin sinuses useful diagnosis
treatment,treatments acanthamoeba granulomatous amebic encephalitis gae keratitis,early diagnosis essential effective treatment acanthamoeba keratitis several prescription eye medications available treatment however infection difficult treat best treatment regimen patient determined eye doctor suspect eye may infected acanthamoeba see eye doctor immediately skin infections caused acanthamoeba spread central nervous system successfully treated serious infection people affected typically weakened immune systems early diagnosis offers best chance cure cases brain spinal cord infection acanthamoeba granulomatous amebic encephalitis fatal
prevention,prevent acanthamoeba granulomatous amebic encephalitis gae keratitis,topics
information,parasites scabies,scabies infestation skin human itch mite sarcoptes scabiei var hominis microscopic scabies mite burrows upper layer skin lives lays eggs common symptoms scabies intense itching pimplelike skin rash scabies mite usually spread direct prolonged skintoskin contact person scabies scabies found worldwide affects people races social classes scabies spread rapidly crowded conditions close body skin contact frequent institutions nursing homes extendedcare facilities prisons often sites scabies outbreaks child care facilities also common site scabies infestations
susceptibility,risk parasites scabies,transmission human scabies caused infestation skin human itch mite sarcoptes scabiei var hominis adult female scabies mites burrow upper layer skin epidermis live deposit eggs microscopic scabies mite almost always passed direct prolonged skintoskin contact person already infested infested person spread scabies even symptoms humans source infestation animals spread human scabies persons risk scabies passed easily infested person household members sexual partners scabies adults frequently sexually acquired scabies common condition found worldwide affects people races social classes scabies spread easily crowded conditions close body skin contact common institutions nursing homes extendedcare facilities prisons often sites scabies outbreaks child care facilities also common site scabies infestations crusted norwegian scabies immunocompromised elderly disabled debilitated persons risk severe form scabies called crusted norwegian scabies persons crusted scabies thick crusts skin contain large numbers scabies mites eggs mites crusted scabies virulent noncrusted scabies however much numerous million per patient infested large numbers mites persons crusted scabies contagious persons addition spreading scabies brief direct skintoskin contact persons crusted scabies transmit scabies indirectly shedding mites contaminate items clothing bedding furniture persons crusted scabies receive quick aggressive medical treatment infestation prevent outbreaks scabies
exams and tests,diagnose parasites scabies,diagnosis scabies infestation usually made based upon customary appearance distribution rash presence burrows whenever possible diagnosis scabies confirmed identifying mite mite eggs fecal matter scybala done carefully removing mite end burrow using tip needle obtaining skin scraping examine microscope mites eggs mite fecal matter scybala however person still infested even mites eggs fecal matter cannot found fewer mites may present infested person otherwise healthy
treatment,treatments parasites scabies,suggested general guidelines important remember first time person gets scabies usually symptoms first weeks infested however still spread scabies time treatment given infested person household members sexual contacts particularly prolonged direct skintoskin contact infested person sexual close personal contacts direct prolonged skintoskin contact infested person within preceding month examined treated persons treated time prevent reinfestation scabies may sometimes sexuallyacquired adults rarely sexuallyacquired children bedding clothing towels used infested persons household sexual close contacts defined anytime three days treatment decontaminated washing hot water drying hot dryer drycleaning sealing plastic bag least hours scabies mites generally survive days away human skin use insecticide sprays fumigants recommended medications used treat scabies products used treat scabies called scabicides kill scabies mites also kill mite eggs scabicides used treat human scabies available prescription nonprescription products tested approved treat scabies scabicide applied areas body neck feet toes addition treating infants young children scabicide also applied entire head neck scabies affect face scalp neck well rest body scabicide applied clean body left recommended time washing clean clothing worn treatment instructions contained box printed label always followed carefully always contact doctor pharmacist unsure use particular medicine symptoms scabies due hypersensitivity reaction allergy mites feces scybala itching still may continue several weeks treatment even mites eggs killed itching still present weeks treatment new burrows pimplelike rash lesions continue appear retreatment may necessary skin sores become infected treated appropriate antibiotic prescribed doctor
